subjectTimestamp,localDateAndTime,participantPrivateID,taskName,bonusPayment,carriesInfo,carriesInfoText,predictedreward,predictedrewardText,age,gender
05/09/2023 12:07:18,05/09/2023 13:07:17,9326471,REPLICATION v3.5 Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25%; Feedback but no total score,1.13,No,,No; There is no relationship between the tone sequences and the chance of winning.,,21,Female
05/09/2023 12:12:16,05/09/2023 13:12:14,9326480,REPLICATION v3.5 Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25%; Feedback but no total score,0.34,Yes,Yes because you are looking out for signs that indicate which is common and which is rare,Yes; Common sequences predicted a higher chance of winning,,21,Female
05/09/2023 12:18:42,05/09/2023 13:18:40,9326481,REPLICATION v3.5 Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25%; Feedback but no total score,0.55,Yes,I think it made me more likely to take a risk in the study when a rare tone sequence was presented,Yes; Rare sequences predicted a higher chance of winning,,24,Female
05/09/2023 12:14:00,05/09/2023 13:14:00,9326482,REPLICATION v3.5 Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25%; Feedback but no total score,0.87,No,,No; There is no relationship between the tone sequences and the chance of winning.,,30,Male
05/09/2023 12:27:24,05/09/2023 13:27:07,9326488,REPLICATION v3.5 Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25%; Feedback but no total score,0.79,No,,No; There is no relationship between the tone sequences and the chance of winning.,,39,Female
05/09/2023 12:21:52,05/09/2023 13:20:39,9326507,REPLICATION v3.5 Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25%; Feedback but no total score,1.3,Yes,"The higher pitch rare seem to mean that you got the good risk, The common pitch was random and the Low pitch rare meant you got the bad risk. This may be completely false but it seemed to work for me,",Other (please describe),The high pitched rare seem to mean i won.,22,Male
05/09/2023 12:17:12,05/09/2023 13:17:12,9326508,REPLICATION v3.5 Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25%; Feedback but no total score,0.33,No,,No; There is no relationship between the tone sequences and the chance of winning.,,18,Male
05/09/2023 12:18:20,05/09/2023 13:18:18,9326511,REPLICATION v3.5 Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25%; Feedback but no total score,1.31,No,,No; There is no relationship between the tone sequences and the chance of winning.,,32,Male
05/09/2023 12:20:42,05/09/2023 13:20:41,9326522,REPLICATION v3.5 Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25%; Feedback but no total score,0.82,Yes,Never quite got the full pattern but where the tone sequence was all the same seemed to result in the weaker payout of the 2 choices on the left hand side.,Yes; Rare sequences predicted a higher chance of winning,,39,Male
05/09/2023 12:18:45,05/09/2023 13:18:44,9326515,REPLICATION v3.5 Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25%; Feedback but no total score,0.41,No,,No; There is no relationship between the tone sequences and the chance of winning.,,35,Male
05/09/2023 12:20:31,05/09/2023 13:20:32,9326520,REPLICATION v3.5 Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25%; Feedback but no total score,0.65,No,,No; There is no relationship between the tone sequences and the chance of winning.,,48,Male
05/09/2023 12:24:12,05/09/2023 13:24:11,9326550,REPLICATION v3.5 Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25%; Feedback but no total score,1.07,No,,No; There is no relationship between the tone sequences and the chance of winning.,,37,Female
05/09/2023 12:39:41,05/09/2023 13:39:37,9326758,REPLICATION v3.5 Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25%; Feedback but no total score,0.72,No,,No; There is no relationship between the tone sequences and the chance of winning.,,37,Male
05/09/2023 12:20:53,05/09/2023 13:20:50,9326523,REPLICATION v3.5 Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25%; Feedback but no total score,0.95,Yes,The rare tone sequence tended to mean that the more positive outcome in 50/50 would win.,Yes; Rare sequences predicted a higher chance of winning,,40,Male
05/09/2023 12:22:26,05/09/2023 13:22:25,9326525,REPLICATION v3.5 Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25%; Feedback but no total score,0.84,Yes,"No, it seemed random",No; There is no relationship between the tone sequences and the chance of winning.,,22,Female
05/09/2023 12:26:28,05/09/2023 13:26:25,9326541,REPLICATION v3.5 Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25%; Feedback but no total score,0.73,No,,No; There is no relationship between the tone sequences and the chance of winning.,,38,Female
05/09/2023 12:22:14,05/09/2023 13:22:14,9326530,REPLICATION v3.5 Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25%; Feedback but no total score,0.85,No,,No; There is no relationship between the tone sequences and the chance of winning.,,56,Male
05/09/2023 12:23:16,05/09/2023 13:23:16,9326538,REPLICATION v3.5 Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25%; Feedback but no total score,0.97,No,,No; There is no relationship between the tone sequences and the chance of winning.,,49,Female
05/09/2023 12:23:25,05/09/2023 13:23:24,9326543,REPLICATION v3.5 Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25%; Feedback but no total score,0.54,No,,No; There is no relationship between the tone sequences and the chance of winning.,,53,Female
05/09/2023 12:26:52,05/09/2023 13:26:52,9326562,REPLICATION v3.5 Audio Oddball Task - 120 Trials: AAAAAA 75% vs AAAAA(B/C) 25%; Feedback but no total score,1.18,No,,No; There is no relationship between the tone sequences and the chance of winning.,,38,Female
